ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Foreign Born",7,"60 & 61 Years",2016,"2016",77,57.00000000000001,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0012017542490596663
3,"Foreign Born",8,"62 to 64 Years",2016,"2016",74,63.00000000000001,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0011549326549404586
3,"Foreign Born",9,"65 to 74 Years",2016,"2016",179,71,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.002793688449112731
3,"Foreign Born",10,"75 Years & Over",2016,"2016",225,118,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0035116195589405836
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6045,"2015",2436,379,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03878054604791849
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6045,"2015",4873,643,"Ames, IA","16000US1901855","ames-ia","Native Born",0.07757701186022446
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6045,"2015",24503,1746,"Ames, IA","16000US1901855","ames-ia","Native Born",0.39008198678659556
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6045,"2015",6900,764,"Ames, IA","16000US1901855","ames-ia","Native Born",0.10984637427366074
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6045,"2015",3559,593,"Ames, IA","16000US1901855","ames-ia","Native Born",0.05665844145506647
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6045,"2015",3928,536,"Ames, IA","16000US1901855","ames-ia","Native Born",0.06253283451404919
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6045,"2015",1912,412,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03043858950887527
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6045,"2015",709,225,"Ames, IA","16000US1901855","ames-ia","Native Born",0.01128711295072833
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6045,"2015",1379,414,"Ames, IA","16000US1901855","ames-ia","Native Born",0.021953355090344663
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6045,"2015",2623,480,"Ames, IA","16000US1901855","ames-ia","Native Born",0.04175754198837857
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6045,"2015",2594,452,"Ames, IA","16000US1901855","ames-ia","Native Born",0.041295868821141446
3,"Foreign Born",0,"Under 5 Years",2015,"2015",83,53,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0013213404441614264
3,"Foreign Born",1,"5 to 17 Years",2015,"2015",413,147,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.006574862692032158
3,"Foreign Born",2,"18 to 24 Years",2015,"2015",2973,250,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.04732945952399904
3,"Foreign Born",3,"25 to 34 Years",2015,"2015",1666,199,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.02652232746955345
