ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2016,"2016","04000US19","Iowa",1594,325.8297101247829,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2016,"2016","04000US19","Iowa",300,113.00442469213317,"Ames, IA","16000US1901855","ames-ia"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2016,"2016","04000US19","Iowa",205,91.08238029388559,"Ames, IA","16000US1901855","ames-ia"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2016,"2016","04000US19","Iowa",3024,425.9788727155374,"Ames, IA","16000US1901855","ames-ia"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2016,"2016","04000US19","Iowa",4327,539.5600059307584,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2016,"2016","04000US19","Iowa",403,151.61134522191932,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2016,"2016","04000US19","Iowa",593,171.4205355259398,"Ames, IA","16000US1901855","ames-ia"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2016,"2016","04000US19","Iowa",539,159.52429282087417,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2016,"2016","04000US19","Iowa",1461,282.4553061990516,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2016,"2016","04000US19","Iowa",625,180.31361568112376,"Ames, IA","16000US1901855","ames-ia"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2016,"2016","04000US19","Iowa",517,163.24827717314508,"Ames, IA","16000US1901855","ames-ia"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2015,"2015","04000US19","Iowa",2306,347.2203911062828,"Ames, IA","16000US1901855","ames-ia"
